Step,Action,Price,Portfolio Value
519,1,445.56,10041.23459999999
520,2,445.59,10036.94459999999
521,0,445.58,10036.94459999999
522,1,445.68,10036.94459999999
523,0,445.61,10039.14459999999
524,1,445.4392,10037.60459999999
525,1,445.29,10033.84699999999
526,0,445.39,10030.56459999999
527,2,444.92,10032.76459999999
528,0,444.705,10032.76459999999
529,2,444.35,10032.76459999999
530,0,444.43,10032.76459999999
531,0,444.4,10032.76459999999
532,1,444.24,10032.76459999999
533,0,444.38,10029.24459999999
534,2,444.5431,10032.32459999999
535,2,444.6575,10032.32459999999
536,0,444.75,10032.32459999999
537,1,444.67,10032.32459999999
538,2,444.7,10030.56459999999
539,1,444.59,10030.56459999999
540,1,444.6438,10028.14459999999
541,1,444.68,10029.32819999999
542,0,444.46,10030.124599999992
543,2,444.44,10025.28459999999
544,0,444.57,10025.28459999999
545,1,444.35,10025.28459999999
546,0,444.39,10020.444599999992
547,0,444.45,10021.32459999999
548,2,444.2655,10022.64459999999
549,2,444.1203,10022.64459999999
550,1,444.3878,10022.64459999999
551,2,444.145,10028.52959999999
552,1,444.1,10028.52959999999
553,0,444.125,10027.539599999993
554,1,444.003,10028.089599999992
555,1,444.17,10025.405599999991
556,1,443.8647,10029.079599999992
557,1,443.97,10022.362999999992
558,0,443.9,10024.679599999992
559,2,443.64,10023.139599999991
560,1,443.9699,10023.139599999991
561,0,444.26,10030.39739999999
562,2,444.07,10036.77959999999
563,1,444.04,10036.77959999999
564,1,444.17,10036.119599999993
565,1,444.17,10038.979599999991
566,1,444.14,10038.979599999991
567,2,443.98,10038.319599999992
568,2,443.98,10038.319599999992
569,0,443.94,10038.319599999992
570,0,443.92,10038.319599999992
571,0,444.0,10038.319599999992
572,0,444.13,10038.319599999992
573,1,444.15,10038.319599999992
574,1,444.1876,10038.75959999999
575,1,443.91,10039.58679999999
576,1,443.84,10033.479599999991
577,0,443.66,10031.93959999999
578,1,443.57,10027.979599999991
579,2,443.494,10025.99959999999
580,1,443.15,10025.99959999999
581,0,442.41,10018.431599999989
582,0,442.55,10002.15159999999
583,2,442.905,10005.23159999999
584,0,442.6581,10005.23159999999
585,2,442.33,10005.23159999999
586,0,442.295,10005.23159999999
587,1,441.8493,10005.23159999999
588,1,441.86,9995.42619999999
589,2,441.96,9995.66159999999
590,0,441.61,9995.66159999999
591,0,441.9798,9995.66159999999
592,0,441.86,9995.66159999999
593,1,442.2137,9995.66159999999
594,0,442.485,10003.44299999999
595,0,442.4,10009.41159999999
596,2,442.26,10007.54159999999
597,1,442.73,10007.54159999999
598,2,442.71,10017.881599999992
599,1,442.8626,10017.881599999992
600,2,442.445,10021.238799999992
601,0,442.49,10021.238799999992
602,0,442.38,10021.238799999992
603,1,441.96,10021.238799999992
604,0,442.11,10011.99879999999
605,0,442.07,10015.298799999991
606,0,442.66,10014.41879999999
607,2,442.52,10027.398799999992
608,1,442.21,10027.398799999992
609,1,442.5,10020.578799999992
610,1,442.655,10026.958799999993
611,2,442.137,10030.368799999993
612,2,442.1496,10030.368799999993
613,2,442.04,10030.368799999993
614,0,441.82,10030.368799999993
615,0,441.845,10030.368799999993
616,1,442.18,10030.368799999993
617,1,442.23,10037.738799999994
618,0,442.01,10038.838799999994
619,2,441.96,10033.998799999992
620,2,441.8659,10033.998799999992
621,2,441.97,10033.998799999992
622,1,441.865,10033.998799999992
623,0,441.925,10031.688799999993
624,0,442.37,10033.008799999992
625,0,442.15,10042.798799999991
626,2,442.15,10037.958799999991
627,0,442.065,10037.958799999991
628,0,441.98,10037.958799999991
629,1,441.835,10037.958799999991
630,0,441.89,10034.768799999989
631,2,442.125,10035.97879999999
632,1,441.95,10035.97879999999
633,0,441.77,10032.12879999999
634,1,441.95,10028.168799999989
635,0,442.37,10032.12879999999
636,2,442.525,10041.36879999999
637,1,442.8,10041.36879999999
638,0,442.68,10047.41879999999
639,0,442.83,10044.778799999991
640,2,442.678,10048.07879999999
641,0,442.93,10048.07879999999
642,0,442.94,10048.07879999999
643,0,442.6845,10048.07879999999
644,2,442.87,10048.07879999999
645,2,443.0871,10048.07879999999
646,2,442.67,10048.07879999999
647,1,443.04,10048.07879999999
648,2,443.33,10056.218799999991
649,1,443.47,10056.218799999991
650,0,443.32,10059.298799999991
651,0,442.88,10055.99879999999
652,1,443.01,10046.318799999992
653,0,442.83,10049.17879999999
654,0,442.895,10045.218799999991
655,1,442.42,10046.64879999999
656,2,442.845,10036.198799999991
657,1,442.8,10036.198799999991
658,1,442.88,10035.208799999991
659,0,443.01,10036.968799999991
660,0,443.48,10039.82879999999
661,0,443.175,10050.168799999992
662,2,443.33,10043.458799999991
663,1,443.33,10043.458799999991
664,0,445.49,10043.458799999991
665,1,443.28,10090.978799999992
666,1,443.49,10042.35879999999
667,0,443.38,10046.978799999992
668,1,443.48,10044.558799999992
669,2,443.605,10046.758799999992
670,0,443.53,10046.758799999992
