Step,Action,Price,Portfolio Value
409,[1 0 1],446.43,9948.937899999997
410,[1 0 2],446.42,9968.087899999997
411,[0 0 2],446.725,9969.767899999999
412,[0 0 0],446.66,9965.464699999997
413,[2 2 2],446.59,9967.847899999997
414,[2 0 1],446.47,9967.847899999997
415,[0 2 2],446.28,9958.127899999998
416,[2 1 1],446.33,9958.127899999998
417,[2 1 0],446.275,9952.199999999997
418,[2 2 1],446.19,9948.617699999999
419,[0 0 2],446.47,9942.857699999999
420,[0 0 0],446.39,9942.857699999999
421,[2 0 0],446.2234,9942.857699999999
422,[1 1 2],445.92,9942.857699999999
423,[1 0 2],445.9495,9936.182899999998
424,[2 2 1],446.2689,9936.831899999997
425,[2 2 1],446.47,9936.111899999996
426,[1 1 1],446.5549,9929.991899999997
427,[0 0 0],446.79,9915.887099999996
428,[2 1 1],446.84,9920.631899999997
429,[1 1 2],447.32,9897.951899999996
430,[2 2 2],447.5,9897.951899999996
431,[0 2 1],447.45,9897.951899999996
432,[0 1 0],447.4001,9892.191899999998
433,[1 2 1],446.922,9884.329499999996
434,[2 1 2],446.74,9889.693499999996
435,[0 1 1],446.69,9889.693499999996
436,[1 0 0],446.655,9897.361499999995
437,[1 0 0],446.45,9924.011099999996
438,[1 0 1],446.48,9929.519099999996
439,[2 1 1],446.49,9928.573499999997
440,[1 0 2],446.55,9907.585499999996
441,[0 0 0],446.77,9906.615899999995
442,[1 1 1],446.76,9897.133499999996
443,[1 0 0],446.975,9895.213499999996
444,[2 1 0],447.1,9884.233499999997
445,[0 0 0],447.23,9883.453499999996
446,[0 0 0],447.2457,9893.461499999996
447,[2 2 1],447.33,9909.373499999996
448,[1 0 2],447.15,9927.294299999998
449,[0 0 0],447.03,9927.294299999998
450,[1 0 0],447.025,9927.294299999998
451,[1 1 1],447.29,9927.184299999997
452,[1 0 1],447.12,9933.014299999999
453,[2 0 0],447.2,9929.274299999997
454,[1 2 0],447.27,9929.274299999997
455,[2 0 0],447.3793,9930.814299999996
456,[1 1 1],447.3,9930.814299999996
457,[1 0 2],447.2201,9929.069699999996
458,[1 1 1],447.18,9927.311899999995
459,[2 0 1],446.97,9926.429699999997
460,[2 0 1],447.03,9927.819299999997
461,[1 0 1],446.93,9925.270499999997
462,[2 0 0],447.06,9934.306499999997
463,[2 2 2],446.74,9945.286499999997
464,[0 0 1],446.575,9945.286499999997
