Step,Action,Price,Portfolio Value
373,[1 0 2],447.5942,10140.320199999993
374,[1 2 1],446.92,10144.599199999993
375,[2 1 2],447.39,10129.835799999992
376,[1 1 1],447.24,10135.946199999991
377,[0 1 0],446.92,10149.236199999992
378,[1 2 2],446.55,10173.088999999993
379,[0 0 2],446.855,10172.718999999992
380,[2 2 2],447.05,10173.023999999992
381,[1 1 0],447.0163,10173.023999999992
382,[2 2 1],447.225,10172.282599999991
383,[2 1 2],447.49,10152.200299999991
384,[1 2 0],447.45,10152.200299999991
385,[2 1 2],447.025,10151.32029999999
386,[0 2 1],447.42,10150.120299999991
387,[2 2 2],446.62,10136.90389999999
388,[2 2 2],446.21,10136.90389999999
389,[2 0 2],446.35,10136.90389999999
390,[2 0 0],446.46,10136.90389999999
391,[0 0 1],446.87,10136.90389999999
392,[1 1 1],446.875,10138.00649999999
393,[1 2 0],446.57,10137.74009999999
394,[2 0 1],446.62,10135.786499999991
395,[1 0 2],447.11,10139.486499999992
396,[2 0 1],447.43,10139.486499999992
397,[0 0 0],447.56,10138.04349999999
398,[0 0 1],447.3885,10129.85909999999
399,[2 0 1],447.21,10131.346499999992
400,[0 2 1],446.79,10142.453899999993
401,[1 1 1],446.485,10142.816499999992
402,[0 1 0],446.24,10140.707499999991
403,[2 0 1],446.105,10143.297499999991
404,[2 1 1],446.11,10149.772499999992
405,[1 1 0],446.2,10155.033899999991
406,[0 1 1],445.88,10166.304099999992
407,[2 0 0],445.795,10168.213299999992
408,[2 0 2],446.1,10163.166499999992
409,[1 0 1],446.43,10163.166499999992
410,[2 1 1],446.42,10170.566499999992
411,[1 1 0],446.725,10172.711499999994
412,[2 1 0],446.66,10168.168599999992
413,[1 2 1],446.59,10171.031499999992
414,[0 0 2],446.47,10171.77149999999
415,[2 2 2],446.28,10171.77149999999
416,[1 1 1],446.33,10171.77149999999
417,[2 0 0],446.275,10173.001299999989
418,[1 0 1],446.19,10172.92149999999
419,[2 0 1],446.47,10170.89149999999
420,[1 2 1],446.39,10159.79149999999
421,[1 1 0],446.2234,10151.65149999999
422,[2 0 2],445.92,10161.264099999991
423,[0 1 0],445.9495,10161.264099999991
424,[0 1 1],446.2689,10167.01159999999
425,[2 2 1],446.47,10162.984099999992
426,[1 0 2],446.5549,10156.694099999993
427,[2 2 1],446.79,10156.694099999993
428,[1 0 0],446.84,10161.570699999993
429,[0 1 1],447.32,10138.260699999993
430,[2 1 0],447.5,10137.890699999993
431,[2 2 2],447.45,10128.263299999993
432,[1 0 2],447.4001,10128.263299999993
433,[1 1 2],446.922,10127.165499999994
434,[1 0 0],446.74,10116.647299999993
435,[2 2 1],446.69,10112.643299999994
436,[1 0 1],446.655,10115.233299999994
437,[1 0 1],446.45,10116.350699999994
438,[2 1 0],446.48,10132.993299999993
439,[2 2 1],446.49,10131.513299999993
440,[1 1 1],446.55,10141.133299999994
441,[2 2 2],446.77,10141.414499999992
442,[1 1 0],446.76,10141.414499999992
443,[0 1 1],446.975,10141.194499999992
444,[2 2 0],447.1,10145.672299999993
445,[1 0 0],447.23,10145.954899999993
446,[0 0 0],447.2457,10148.792299999994
447,[1 0 0],447.33,10149.397899999993
448,[1 2 1],447.15,10151.750299999992
449,[2 1 0],447.03,10147.790699999992
450,[0 1 2],447.025,10153.774699999993
451,[0 0 1],447.29,10157.209099999993
452,[0 2 1],447.12,10158.714899999992
453,[1 1 0],447.2,10157.183099999993
454,[0 1 2],447.27,10153.542299999992
455,[1 0 1],447.3793,10153.542299999992
456,[1 2 0],447.3,10156.188299999993
457,[1 2 2],447.2201,10154.193699999994
458,[2 1 1],447.18,10152.435899999993
459,[2 2 2],446.97,10158.421099999992
460,[2 0 1],447.03,10158.421099999992
461,[1 0 0],446.93,10155.80149999999
462,[2 2 2],447.06,10165.08849999999
463,[1 1 1],446.74,10165.08849999999
464,[0 1 0],446.575,10158.023499999992
465,[1 2 1],446.415,10154.24109999999
466,[2 1 1],446.75,10150.623499999992
467,[2 1 1],446.76,10148.973699999991
468,[2 1 1],446.54,10156.483499999993
469,[0 0 0],446.525,10153.603499999992
470,[0 0 1],446.3417,10157.903499999991
471,[0 0 0],446.145,10145.539499999992
472,[0 1 1],446.075,10140.573499999991
473,[0 2 0],446.1629,10151.173499999994
474,[2 1 1],446.0201,10150.933299999993
475,[1 2 2],446.1288,10156.331099999992
476,[0 0 1],446.08,10156.331099999992
477,[1 2 0],445.705,10153.807699999992
478,[1 2 1],445.755,10154.310899999991
479,[0 0 1],446.0175,10143.07769999999
480,[2 0 0],445.86,10139.38509999999
481,[1 2 1],445.78,10137.890299999992
482,[1 2 0],445.82,10138.77089999999
483,[1 1 0],445.945,10134.131099999991
